week,film,novel,Book 1: film,Book 1: novel,Book 2: film,Book 2: novel,Book 3: film,Book 3: novel,Book 4: film,Book 4: novel,Book 5: film,Book 5: novel,Book 6: film,Book 6: novel,Book 7: film pt1,Book 7:film pt2,Book 7: novel
2015-01-25,27,1440,27,41.3793103448,35.5862068966,53.5862068966,31.8620689655,20.6060606061,50.962962963,23.2903225806,39.4482758621,22.2580645161,48.935483871,20.9032258065,92.125,85.3333333333,92.1739130435
2015-02-01,27,1400,25.875,41.3793103448,33.1034482759,57.4137931034,31.8620689655,21.8181818182,48.5925925926,22.064516129,41.2413793103,22.7419354839,44.9677419355,20.9032258065,94.9166666667,80,85.2608695652
2015-02-08,26,1440,24.75,39.6551724138,35.5862068966,49.7586206897,30.3448275862,20.6060606061,50.962962963,21.4516129032,37.6551724138,20.8064516129,47.6129032258,20.9032258065,89.3333333333,80,82.9565217391
2015-02-15,31,1480,24.75,37.0689655172,38.0689655172,61.2413793103,34.1379310345,18.7878787879,49.7777777778,20.8387096774,46.6206896552,21.7741935484,50.2580645161,22.6451612903,100.5,88,89.8695652174
2015-02-22,27,1360,23.625,36.2068965517,33.9310344828,51.0344827586,28.0689655172,20,46.2222222222,20.2258064516,38.5517241379,21.2903225806,48.935483871,18.5806451613,83.75,80,78.347826087
2015-03-01,25,1440,22.5,34.4827586207,29.7931034483,52.3103448276,28.8275862069,19.3939393939,46.2222222222,20.2258064516,35.8620689655,19.8387096774,43.6451612903,18,83.75,69.3333333333,76.0434782609
2015-03-08,25,1400,22.5,35.3448275862,31.4482758621,49.7586206897,28.0689655172,20.6060606061,42.6666666667,18.3870967742,34.9655172414,18.3870967742,44.9677419355,19.7419354839,80.9583333333,74.6666666667,80.652173913
2015-03-15,25,1360,21.375,32.7586206897,30.6206896552,49.7586206897,27.3103448276,20,42.6666666667,21.4516129032,33.1724137931,20.3225806452,42.3225806452,18.5806451613,75.375,69.3333333333,73.7391304348
2015-03-22,29,1480,25.875,35.3448275862,36.4137931034,48.4827586207,30.3448275862,20,48.5925925926,19,41.2413793103,22.7419354839,50.2580645161,19.1612903226,89.3333333333,85.3333333333,82.9565217391
2015-03-29,29,1640,28.125,43.1034482759,39.724137931,54.8620689655,35.6551724138,20.6060606061,48.5925925926,20.8387096774,37.6551724138,21.7741935484,50.2580645161,20.9032258065,100.5,104,96.7826086957
2015-04-05,27,1520,25.875,37.9310344828,31.4482758621,47.2068965517,28.8275862069,20.6060606061,49.7777777778,22.064516129,40.3448275862,19.8387096774,47.6129032258,19.1612903226,86.5416666667,85.3333333333,80.652173913
2015-04-12,23,1320,22.5,31.8965517241,28.1379310345,45.9310344828,23.5172413793,17.5757575758,45.037037037,19,35.8620689655,19.3548387097,38.3548387097,17.4193548387,75.375,66.6666666667,78.347826087
2015-04-19,22,1320,23.625,37.0689655172,31.4482758621,48.4827586207,25.7931034483,20,40.2962962963,19,35.8620689655,21.7741935484,39.6774193548,19.1612903226,75.375,72,80.652173913
2015-04-26,22,1400,25.875,38.7931034483,32.275862069,48.4827586207,27.3103448276,19.3939393939,46.2222222222,20.8387096774,34.0689655172,19.3548387097,42.3225806452,18.5806451613,86.5416666667,80,92.1739130435
2015-05-03,24,1360,22.5,31.8965517241,33.1034482759,47.2068965517,23.5172413793,18.1818181818,39.1111111111,19,34.0689655172,19.3548387097,42.3225806452,17.4193548387,80.9583333333,72,78.347826087
2015-05-10,24,1320,24.75,38.7931034483,31.4482758621,47.2068965517,25.0344827586,18.1818181818,41.4814814815,18.3870967742,32.275862069,18.3870967742,38.3548387097,17.4193548387,78.1666666667,72,82.9565217391
2015-05-17,29,1440,28.125,46.5517241379,42.2068965517,56.1379310345,28.0689655172,21.2121212121,45.037037037,20.2258064516,30.4827586207,21.2903225806,42.3225806452,20.3225806452,83.75,80,82.9565217391
2015-05-24,32,1520,28.125,43.1034482759,48,85.4827586207,37.9310344828,24.8484848485,46.2222222222,23.2903225806,37.6551724138,22.2580645161,48.935483871,22.6451612903,89.3333333333,88,87.5652173913
2015-05-31,37,1680,28.125,43.9655172414,40.5517241379,62.5172413793,38.6896551724,32.1212121212,62.8148148148,28.1935483871,41.2413793103,27.5806451613,67.4516129032,27.8709677419,117.25,106.6666666667,99.0869565217
2015-06-07,34,1640,29.25,43.9655172414,38.0689655172,59.9655172414,39.4482758621,28.4848484848,58.0740740741,55.1612903226,43.9310344828,28.5483870968,64.8064516129,25.5483870968,114.4583333333,104,92.1739130435
2015-06-14,32,1560,31.5,43.1034482759,38.0689655172,59.9655172414,31.1034482759,24.2424242424,62.8148148148,31.2580645161,41.2413793103,28.5483870968,59.5161290323,29.0322580645,108.875,98.6666666667,96.7826086957
2015-06-21,31,1560,30.375,46.5517241379,37.2413793103,61.2413793103,31.1034482759,25.4545454545,55.7037037037,27.5806451613,46.6206896552,27.0967741935,55.5483870968,26.7096774194,114.4583333333,96,99.0869565217
